city,country,company_name,sector,funding_round,amount_usd,employees,year,latitude,longitude
Beijing,China,VertexRobotics,Robotics,Seed,7400000,33,2020,39.9605,116.5121
Dubai,UAE,DeepFinance,AI,Seed,4900000,18,2025,25.0642,55.3146
Boston,United States,AstroHealth,Biotech,Series D,278000000,4009,2022,42.4722,-70.9630
Seattle,United States,PulseAnalytics,AI,Series D,252600000,749,2023,47.6712,-122.2945
Cape Town,South Africa,StratosSpace,Robotics,Series B,56600000,98,2023,-33.9202,18.4378
Sydney,Australia,AxionSpace,AI,Series C,82900000,543,2024,-33.9538,151.1266
Cape Town,South Africa,TeraAI,AI,Series A,20400000,52,2020,-33.9511,18.3950
New York,United States,GridGenomics,SaaS,Series B,51000000,243,2024,40.5816,-74.0238
Shanghai,China,AstroDynamics,Climate,Series D,226500000,2022,2025,31.1087,121.4218
Seoul,South Korea,CortexDynamics,SaaS,Series A,8000000,38,2021,37.6550,126.8384
Nairobi,Kenya,CortexFinance,Fintech,Seed,6100000,22,2023,-1.1916,36.8424
Shanghai,China,VectorFinance,SaaS,Series A,8400000,99,2023,31.3752,121.3487
London,United Kingdom,SiloVentures,Space,Series B,25800000,135,2020,51.4398,-0.2559
Shanghai,China,AstroSecurity,Fintech,Pre-Seed,1600000,11,2025,31.3315,121.5193
Paris,France,SiloRobotics,Biotech,Series C,189600000,657,2020,48.9487,2.2983
Helsinki,Finland,ZenoRobotics,Space,Series D,337700000,3793,2022,60.2114,24.9832
Tokyo,Japan,NovaData,Climate,Series B,44300000,333,2024,35.6441,139.6629
Shenzhen,China,OrbitEnergy,Robotics,Series A,16000000,92,2024,22.5847,114.0660
Stockholm,Sweden,FluxLogic,Biotech,Series B,49000000,340,2021,59.3234,18.1747
Tallinn,Estonia,AxionLabs,Space,Series B,68200000,234,2023,59.5232,24.8850
Seoul,South Korea,PulseTech,Robotics,Pre-Seed,1900000,13,2024,37.6490,126.8919
San Francisco,United States,FluxSpace,AI,Series B,72500000,134,2020,37.7264,-122.2780
Cape Town,South Africa,CryoWorks,Biotech,Series D,161200000,2509,2021,-33.9127,18.3454
Seattle,United States,AetherLabs,Fintech,Series B,58300000,172,2025,47.7438,-122.2983
Toronto,Canada,HaloRobotics,SaaS,Series D,161400000,1658,2020,43.6295,-79.4149
San Francisco,United States,SynthLogic,AI,Series B,47400000,113,2021,37.7614,-122.3471
Shenzhen,China,NeoAI,Climate,Pre-Seed,1200000,5,2025,22.4993,114.0156
Zurich,Switzerland,LumenWorks,Space,Series B,23000000,300,2024,47.2276,8.4261
Lagos,Nigeria,QuantumAI,Fintech,Series A,24400000,89,2021,6.5210,3.5219
Seoul,South Korea,ForgeEnergy,SaaS,Series C,119700000,850,2021,37.4509,126.9861
Bangalore,India,StratosWorks,Biotech,Seed,4800000,29,2025,13.0050,77.5013
Lagos,Nigeria,ForgeAnalytics,Robotics,Series C,148100000,916,2020,6.4852,3.3550
Sydney,Australia,AxionRobotics,SaaS,Series D,432300000,1324,2023,-33.9632,151.2484
London,United Kingdom,NovaWorks,Climate,Series C,130200000,1061,2025,51.6013,-0.0471
Miami,United States,FluxRobotics,AI,Series A,10100000,59,2022,25.7412,-80.0546
Tokyo,Japan,HelixGenomics,Robotics,Series B,46500000,152,2023,35.8206,139.5019
Cape Town,South Africa,DeepGenomics,Fintech,Series C,75000000,1114,2024,-33.9830,18.5625
Shanghai,China,ForgeData,Fintech,Series A,16300000,99,2022,31.0912,121.4979
Dublin,Ireland,ZenoWorks,Fintech,Series D,443900000,760,2025,53.3144,-6.1174
New York,United States,NexusAnalytics,Robotics,Series B,56600000,304,2025,40.6135,-73.9063
Lagos,Nigeria,FluxAnalytics,Robotics,Series C,170400000,1134,2020,6.6316,3.2670
Seoul,South Korea,PrismDynamics,Biotech,Series A,5800000,76,2022,37.6015,126.9634
Ho Chi Minh City,Vietnam,CortexVentures,AI,Series C,199100000,280,2024,10.9572,106.7627
Austin,United States,SiloLabs,SaaS,Series D,257200000,3567,2020,30.3122,-97.8684
Singapore,Singapore,AxionVentures,Robotics,Seed,6600000,32,2020,1.4138,103.8555
Tel Aviv,Israel,CortexSpace,SaaS,Series B,43900000,273,2024,32.0962,34.6498
Cape Town,South Africa,IonicAI,AI,Pre-Seed,700000,13,2025,-33.9772,18.3168
Boston,United States,ZenoEnergy,Fintech,Pre-Seed,1400000,15,2025,42.2871,-71.0642
Shanghai,China,OrbitSpace,AI,Series B,70500000,300,2023,31.1874,121.3438
Seoul,South Korea,NeoAnalytics,AI,Seed,2500000,15,2020,37.5764,127.1086
Tokyo,Japan,VoxDynamics,Space,Series A,18800000,79,2022,35.6783,139.7336
Tel Aviv,Israel,AetherData,Space,Series A,15800000,37,2024,32.0561,34.7710
Austin,United States,GridHealth,Robotics,Series C,173700000,1044,2021,30.2729,-97.7899
Dubai,UAE,AxionGenomics,SaaS,Series B,63500000,139,2023,25.1918,55.1366
Seoul,South Korea,HelixLabs,AI,Series C,101400000,634,2022,37.6224,127.0067
Lagos,Nigeria,LumenVentures,Robotics,Series C,151700000,1066,2024,6.4178,3.2734
London,United Kingdom,GridSystems,Robotics,Series A,20800000,70,2024,51.5652,-0.0025
San Francisco,United States,IonicRobotics,Robotics,Series C,178700000,587,2021,37.8960,-122.4057
Austin,United States,HelixWorks,Robotics,Series B,15800000,290,2025,30.1220,-97.8022
Cape Town,South Africa,VertexLogic,Biotech,Series C,187000000,652,2021,-33.7844,18.2857
Sydney,Australia,GridAI,Robotics,Series B,50900000,98,2022,-33.8579,151.2709
Seoul,South Korea,LumenSystems,AI,Pre-Seed,900000,11,2020,37.4651,126.9827
Tokyo,Japan,CryoGenomics,AI,Series D,450800000,4883,2021,35.8197,139.5389
Tallinn,Estonia,TeraEnergy,Climate,Series A,20600000,66,2025,59.4915,24.6478
Beijing,China,SiloLogic,AI,Series A,7000000,86,2021,39.8791,116.4425
Shenzhen,China,IonicAnalytics,Robotics,Series D,320400000,3162,2025,22.5823,114.0053
Shenzhen,China,HelixTech,AI,Series B,73300000,184,2020,22.6325,113.9107
Nairobi,Kenya,SynthTech,Climate,Seed,7100000,14,2021,-1.1993,36.7416
Tokyo,Japan,VertexGenomics,AI,Series A,23100000,64,2020,35.6943,139.5982
Tokyo,Japan,DeepVentures,SaaS,Series B,48200000,198,2022,35.5489,139.6626
London,United Kingdom,GridVentures,Space,Series D,201500000,1319,2020,51.5129,-0.0744
London,United Kingdom,DeepCloud,Robotics,Seed,3700000,33,2020,51.6501,-0.1780
Tokyo,Japan,PulseData,Space,Seed,5200000,8,2025,35.6289,139.7498
London,United Kingdom,NexusSecurity,Climate,Series B,38900000,239,2022,51.4666,-0.2022
San Francisco,United States,NovaAI,Space,Seed,5400000,22,2024,37.8937,-122.3390
Singapore,Singapore,HelixDynamics,Climate,Series A,12600000,50,2021,1.2189,103.8592
Berlin,Germany,IonicSecurity,Fintech,Series C,48900000,1015,2024,52.4832,13.3519
Seoul,South Korea,VectorVentures,Space,Seed,1900000,28,2020,37.6292,127.0938
Los Angeles,United States,NexusLabs,Robotics,Series C,191000000,1087,2023,33.9620,-118.3773
Tallinn,Estonia,ZenoBio,Space,Series D,169500000,4485,2024,59.5321,24.7247
New York,United States,CryoCloud,Biotech,Series B,40300000,251,2020,40.5800,-74.1290
Seattle,United States,AstroWorks,Space,Series D,272000000,3327,2023,47.5909,-122.2121
Boston,United States,NovaSecurity,SaaS,Pre-Seed,500000,7,2025,42.2663,-70.9797
Bangalore,India,AetherEnergy,Fintech,Series C,84400000,675,2025,13.0286,77.6602
San Francisco,United States,IonicBio,Climate,Series A,22400000,116,2021,37.7700,-122.4637
New York,United States,NovaLabs,Climate,Pre-Seed,1000000,7,2025,40.8195,-73.8664
Los Angeles,United States,ZenoHealth,Fintech,Pre-Seed,1100000,12,2021,33.9789,-118.2961
London,United Kingdom,ForgeLogic,Climate,Pre-Seed,1900000,12,2025,51.3624,-0.2256
Singapore,Singapore,ZenoSecurity,AI,Series A,23900000,44,2021,1.4767,103.7758
London,United Kingdom,CipherAI,Robotics,Pre-Seed,1000000,7,2023,51.3830,-0.2008
Boston,United States,SynthSpace,AI,Seed,6900000,18,2023,42.3823,-71.0906
Singapore,Singapore,FluxNetworks,Biotech,Series D,229300000,1200,2023,1.3674,103.9054
Seoul,South Korea,ForgeRobotics,Space,Series D,339500000,862,2025,37.4609,127.0238
Berlin,Germany,SiloHealth,Robotics,Series D,375700000,654,2021,52.6020,13.2741
Sydney,Australia,NovaRobotics,AI,Seed,5700000,14,2021,-33.9806,151.1282
Dublin,Ireland,AxionNetworks,Fintech,Series C,60900000,722,2022,53.3896,-6.2436
New York,United States,StratosGenomics,Climate,Series A,8500000,79,2023,40.7235,-73.8661
Shenzhen,China,MacroLabs,SaaS,Series A,24400000,49,2023,22.6800,114.0515
Seoul,South Korea,FluxData,Fintech,Pre-Seed,1000000,8,2025,37.4337,126.9070
Seattle,United States,SynthRobotics,Space,Seed,3100000,36,2024,47.5720,-122.4788
Los Angeles,United States,LumenData,Robotics,Series B,68400000,123,2024,34.1593,-118.1698
Berlin,Germany,SynthBio,Space,Series A,15900000,32,2021,52.5550,13.4022
New York,United States,SiloSecurity,Fintech,Pre-Seed,1400000,11,2024,40.5951,-73.9814
Seoul,South Korea,MacroHealth,AI,Seed,3000000,23,2024,37.6086,126.9127
Bangalore,India,AetherHealth,Space,Pre-Seed,1600000,6,2022,13.0394,77.7395
Sao Paulo,Brazil,IonicWorks,Fintech,Series B,64700000,205,2025,-23.5677,-46.7305
Amsterdam,Netherlands,NovaAnalytics,Climate,Series D,470400000,1985,2021,52.2742,4.7630
Tokyo,Japan,NexusAI,Biotech,Seed,7300000,39,2021,35.8126,139.7607
Boston,United States,DeepDynamics,Fintech,Series B,46900000,350,2022,42.2602,-71.1311
New York,United States,LumenRobotics,Biotech,Series A,10700000,47,2021,40.7095,-74.0429
New York,United States,NeoLabs,Climate,Series B,60300000,207,2025,40.7194,-74.1381
Beijing,China,SynthNetworks,Fintech,Series C,103800000,1172,2021,39.8683,116.4800
Boston,United States,AetherLogic,Fintech,Pre-Seed,600000,7,2025,42.4094,-71.0225
Boston,United States,ForgeAI,Robotics,Series D,157700000,915,2024,42.4995,-71.1827
Tallinn,Estonia,MacroNetworks,Biotech,Series D,250400000,4473,2024,59.2950,24.6596
New York,United States,CryoSystems,Space,Seed,7400000,31,2025,40.8020,-73.9601
Miami,United States,HaloFinance,Fintech,Series A,6800000,115,2020,25.7118,-80.1731
Bangalore,India,ForgeWorks,Robotics,Seed,3800000,23,2021,13.0647,77.4994
Tokyo,Japan,SiloDynamics,SaaS,Series A,27100000,88,2024,35.6659,139.6929
Stockholm,Sweden,MacroFinance,Biotech,Seed,5400000,35,2025,59.2110,18.1735
Zurich,Switzerland,SynthData,Climate,Seed,2800000,17,2020,47.4386,8.4000
New York,United States,NeoDynamics,Fintech,Series A,20100000,34,2023,40.6864,-74.0059
Dubai,UAE,ZenoData,SaaS,Seed,6000000,25,2025,25.2227,55.2794
Sydney,Australia,AetherVentures,AI,Seed,5400000,35,2025,-33.8900,151.3041
Beijing,China,MacroSpace,Space,Series C,157200000,411,2022,39.9681,116.5150
San Francisco,United States,ZenoTech,Fintech,Series D,108400000,1356,2024,37.6629,-122.2857
Jakarta,Indonesia,GridLogic,Fintech,Series C,126900000,1119,2023,-6.3241,106.7048
Amsterdam,Netherlands,AxionWorks,SaaS,Series A,26500000,98,2024,52.2544,4.9776
Shenzhen,China,FluxCloud,Fintech,Series D,165300000,2413,2020,22.6303,114.1724
New York,United States,NovaNetworks,Space,Series A,12900000,32,2021,40.7367,-74.0383
Jakarta,Indonesia,FluxWorks,Fintech,Seed,5300000,19,2023,-6.3157,106.9542
New York,United States,CipherDynamics,Climate,Pre-Seed,500000,3,2023,40.7613,-73.9852
Dublin,Ireland,CryoSecurity,Space,Series B,30400000,124,2025,53.3422,-6.3028
San Francisco,United States,NeoHealth,Climate,Pre-Seed,1300000,13,2021,37.6588,-122.4238
Seoul,South Korea,NexusLogic,Biotech,Series B,46000000,281,2025,37.6139,127.0511
Stockholm,Sweden,LumenEnergy,Fintech,Seed,4500000,18,2024,59.2892,18.2155
Los Angeles,United States,QuantumTech,Biotech,Pre-Seed,2000000,5,2021,34.0659,-118.2878
San Francisco,United States,VectorDynamics,SaaS,Series D,490900000,2729,2023,37.8597,-122.2785
Lagos,Nigeria,NeoTech,Climate,Series C,186500000,876,2025,6.3757,3.4837
Singapore,Singapore,AetherBio,Climate,Series D,101400000,3176,2021,1.3310,103.8744
San Francisco,United States,IonicSystems,Biotech,Series C,169000000,820,2025,37.7316,-122.4963
Sydney,Australia,VoxSecurity,SaaS,Series C,97400000,349,2024,-33.9360,151.1807
Singapore,Singapore,CortexWorks,SaaS,Seed,3300000,15,2025,1.3651,103.8360
Singapore,Singapore,VertexDynamics,AI,Pre-Seed,1500000,13,2020,1.4781,103.7527
New York,United States,AetherFinance,AI,Series D,332600000,592,2023,40.6650,-74.0325
Paris,France,VectorSpace,Climate,Series A,5300000,104,2023,48.9721,2.2363
Berlin,Germany,NovaCloud,Robotics,Series D,141700000,1467,2020,52.6218,13.3380
San Francisco,United States,ZenoAnalytics,Fintech,Series D,191100000,4682,2021,37.8446,-122.3306
Zurich,Switzerland,PrismEnergy,AI,Seed,1900000,32,2024,47.4912,8.4424
Bangalore,India,PrismNetworks,Biotech,Pre-Seed,1800000,13,2025,12.8922,77.6773
New York,United States,NovaHealth,Robotics,Series C,98900000,388,2021,40.8263,-74.0653
Seattle,United States,GridAnalytics,Fintech,Seed,7900000,32,2024,47.6766,-122.4360
Singapore,Singapore,ZenoAI,SaaS,Series A,29900000,46,2023,1.3111,103.8436
Singapore,Singapore,StratosHealth,SaaS,Seed,6300000,18,2021,1.4083,103.7566
Shenzhen,China,TeraSpace,Biotech,Series C,123800000,327,2025,22.6098,114.1451
Toronto,Canada,HelixLogic,SaaS,Pre-Seed,1900000,6,2022,43.6006,-79.2677
New York,United States,OrbitRobotics,SaaS,Pre-Seed,600000,8,2024,40.5707,-74.0423
Tel Aviv,Israel,CryoData,Robotics,Series C,125600000,841,2024,32.1943,34.7718
Tel Aviv,Israel,CipherBio,AI,Series C,44700000,628,2020,32.0005,34.7677
London,United Kingdom,CortexLabs,Fintech,Series B,48700000,86,2020,51.5986,-0.0586
Beijing,China,HaloAnalytics,Fintech,Pre-Seed,1900000,6,2024,39.8202,116.4008
Singapore,Singapore,VoxGenomics,Space,Pre-Seed,800000,10,2025,1.4748,103.9341
Beijing,China,AetherAI,Fintech,Series C,79800000,213,2024,39.9083,116.5313
Zurich,Switzerland,FluxTech,Climate,Series B,52600000,228,2023,47.5078,8.4238
Mumbai,India,IonicEnergy,Fintech,Series C,53200000,1112,2024,19.0685,72.7342
New York,United States,CortexData,Fintech,Series A,19500000,88,2021,40.8373,-73.8568
Miami,United States,AstroRobotics,Fintech,Pre-Seed,900000,13,2025,25.6428,-80.2628
Stockholm,Sweden,NovaVentures,SaaS,Pre-Seed,1000000,15,2021,59.3195,18.0686
Shanghai,China,VoxData,Climate,Series D,301500000,801,2022,31.2774,121.4269
New York,United States,IonicData,Fintech,Series A,14400000,41,2025,40.8428,-74.1218
Dublin,Ireland,AstroData,SaaS,Series A,25200000,87,2025,53.3357,-6.2497
Berlin,Germany,PrismHealth,AI,Series A,10400000,40,2025,52.6014,13.4665
Shanghai,China,NexusSpace,AI,Series B,57600000,119,2022,31.2089,121.6117
Dubai,UAE,CipherVentures,SaaS,Series A,10700000,39,2023,25.2949,55.2973
Dubai,UAE,CipherWorks,AI,Pre-Seed,1800000,5,2024,25.3439,55.1294
Miami,United States,VoxWorks,Climate,Series A,9700000,73,2020,25.9054,-80.1732
Bangalore,India,IonicCloud,Space,Series C,104600000,433,2024,13.0840,77.6604
Boston,United States,MacroVentures,AI,Seed,3700000,11,2023,42.4891,-71.1865
Sao Paulo,Brazil,FluxAI,Climate,Series C,97300000,698,2022,-23.6333,-46.5223
New York,United States,GridCloud,AI,Series C,69700000,681,2025,40.6357,-74.1021
Toronto,Canada,QuantumRobotics,Fintech,Seed,4400000,25,2020,43.7558,-79.4793
Shanghai,China,NexusNetworks,Fintech,Seed,5900000,37,2020,31.3801,121.3341
London,United Kingdom,AstroAnalytics,Fintech,Series C,124700000,775,2022,51.5547,-0.2484
Dubai,UAE,NeoFinance,Climate,Seed,2100000,40,2025,25.2987,55.3201
Lagos,Nigeria,GridBio,Fintech,Pre-Seed,1400000,7,2020,6.4576,3.2731
San Francisco,United States,NeoData,Climate,Seed,3700000,23,2023,37.8723,-122.5203
Tel Aviv,Israel,CipherCloud,Fintech,Pre-Seed,600000,4,2022,32.1365,34.9211
Nairobi,Kenya,VertexBio,AI,Series D,202900000,974,2021,-1.2925,36.9640
Sao Paulo,Brazil,AetherTech,Fintech,Series A,18100000,42,2023,-23.4018,-46.7624
San Francisco,United States,AstroFinance,Robotics,Series D,175300000,571,2024,37.7982,-122.2852
London,United Kingdom,OrbitFinance,Space,Series C,136200000,1152,2021,51.3753,-0.0991
London,United Kingdom,CipherSpace,Biotech,Series A,16500000,46,2025,51.4328,-0.0634
Tokyo,Japan,VectorNetworks,Biotech,Series D,243300000,2428,2021,35.7666,139.5652
Sao Paulo,Brazil,NexusSystems,SaaS,Pre-Seed,1300000,10,2022,-23.6720,-46.5551
Singapore,Singapore,VoxNetworks,SaaS,Series A,11300000,40,2025,1.4688,103.9681
Beijing,China,VectorSystems,Fintech,Seed,7800000,35,2025,39.9467,116.3450
Boston,United States,HelixFinance,Robotics,Series A,10300000,45,2023,42.2502,-70.9713
Seoul,South Korea,CryoFinance,Climate,Pre-Seed,1000000,11,2022,37.4439,126.9873
San Francisco,United States,QuantumVentures,Biotech,Series A,10500000,91,2020,37.9128,-122.3334
San Francisco,United States,CortexNetworks,AI,Pre-Seed,1100000,9,2020,37.8917,-122.3167
New York,United States,AxionLogic,AI,Series C,43600000,843,2022,40.8176,-74.0797
Stockholm,Sweden,VertexNetworks,Fintech,Series C,149300000,243,2022,59.4447,18.0809
San Francisco,United States,ForgeSystems,Fintech,Seed,1100000,36,2023,37.8061,-122.3953
Sydney,Australia,QuantumSecurity,Biotech,Series D,237100000,2711,2023,-33.9866,151.1612
Seattle,United States,NexusRobotics,Fintech,Pre-Seed,2000000,11,2020,47.5958,-122.4401
Singapore,Singapore,VertexHealth,Space,Seed,6400000,30,2020,1.2330,103.7506
San Francisco,United States,VectorBio,Biotech,Series C,52200000,444,2025,37.6270,-122.4251
Tel Aviv,Israel,TeraFinance,Robotics,Seed,1200000,16,2025,32.1160,34.6793
San Francisco,United States,SynthHealth,SaaS,Series A,15600000,81,2025,37.9013,-122.3816
Seoul,South Korea,PrismTech,Biotech,Seed,3200000,15,2023,37.5921,126.8605
Singapore,Singapore,FluxVentures,Space,Series A,21500000,105,2021,1.4836,103.8298
New York,United States,DeepRobotics,Space,Series B,16700000,148,2024,40.8538,-74.0122
Miami,United States,ZenoLogic,SaaS,Series B,23800000,153,2024,25.8662,-80.2556
Tel Aviv,Israel,PulseCloud,Biotech,Series C,45300000,989,2022,32.1198,34.8552
Sao Paulo,Brazil,CortexTech,Fintech,Series B,45900000,243,2023,-23.6467,-46.5926
Nairobi,Kenya,HaloVentures,Space,Series C,197600000,364,2025,-1.4194,36.8225
Stockholm,Sweden,GridData,AI,Series C,136000000,629,2023,59.4474,17.9277
Stockholm,Sweden,CortexBio,Robotics,Seed,6700000,26,2021,59.2629,18.1439
Bangalore,India,PrismLabs,Climate,Pre-Seed,1200000,7,2025,13.0168,77.5360
Bangalore,India,VertexLabs,Robotics,Series C,172900000,995,2021,13.0488,77.6071
Tel Aviv,Israel,PulseBio,Climate,Series C,155200000,377,2025,31.9383,34.8949
Austin,United States,VectorHealth,Climate,Series D,324500000,1716,2022,30.1576,-97.7801
Bangalore,India,ZenoDynamics,Robotics,Seed,4100000,13,2025,13.0015,77.6668
Dublin,Ireland,PrismFinance,Climate,Pre-Seed,2000000,10,2023,53.2253,-6.3157
London,United Kingdom,CortexCloud,Climate,Series B,24900000,176,2025,51.3996,-0.1833
Tel Aviv,Israel,SiloWorks,Biotech,Series C,179100000,259,2020,31.9446,34.8985
Shanghai,China,LumenFinance,Fintech,Series C,59200000,776,2023,31.3242,121.3251
Jakarta,Indonesia,HaloTech,Biotech,Pre-Seed,2000000,4,2022,-6.1588,106.8714
Singapore,Singapore,CortexRobotics,SaaS,Seed,2700000,27,2025,1.3300,103.7126
Berlin,Germany,NeoSystems,Space,Seed,1300000,32,2024,52.6375,13.4279
Bangalore,India,FluxGenomics,AI,Pre-Seed,700000,13,2025,12.8585,77.6570
Tel Aviv,Israel,PulseGenomics,Biotech,Series C,65000000,1026,2021,31.9993,34.9317
Mumbai,India,CryoLogic,Biotech,Series C,155700000,416,2025,19.0624,72.9026
Tel Aviv,Israel,SynthWorks,Climate,Series D,244400000,4215,2021,31.9934,34.7888
Tel Aviv,Israel,AxionDynamics,Biotech,Pre-Seed,1500000,6,2021,32.1461,34.8552
Lagos,Nigeria,NexusTech,AI,Series A,23500000,35,2022,6.4941,3.2643
Seoul,South Korea,SiloTech,Biotech,Pre-Seed,1000000,11,2024,37.5692,127.0369
Chicago,United States,PulseDynamics,Climate,Seed,3100000,20,2021,41.9074,-87.6928
Beijing,China,GridDynamics,Robotics,Pre-Seed,1900000,14,2021,40.0259,116.3909
Seoul,South Korea,VoxLogic,Climate,Series C,122900000,418,2023,37.5782,127.0023
New York,United States,SiloSpace,Space,Series D,434500000,2473,2024,40.6005,-74.0315
Chicago,United States,QuantumNetworks,Fintech,Pre-Seed,1800000,5,2022,41.8778,-87.5396
Chicago,United States,CipherRobotics,AI,Seed,3100000,28,2025,41.7499,-87.7570
Helsinki,Finland,DeepNetworks,Space,Series D,393200000,2282,2024,60.0327,25.0569
Tel Aviv,Israel,GridTech,AI,Pre-Seed,700000,11,2021,32.1778,34.8690
Cape Town,South Africa,SynthLabs,AI,Seed,5300000,9,2023,-33.8982,18.2937
Seoul,South Korea,AxionBio,Space,Pre-Seed,1000000,14,2024,37.5280,126.9023
Shanghai,China,PrismRobotics,Climate,Series A,22500000,68,2022,31.3637,121.4919
New York,United States,CryoDynamics,Fintech,Series C,89600000,570,2020,40.6914,-74.1483
Shanghai,China,StratosBio,Fintech,Series B,69500000,337,2024,31.1919,121.5124
Shanghai,China,HaloGenomics,Robotics,Series B,50800000,178,2020,31.1214,121.5362
San Francisco,United States,NovaFinance,AI,Series A,29600000,103,2021,37.8472,-122.3629
Seoul,South Korea,TeraTech,Space,Series A,26300000,54,2021,37.5056,127.0046
San Francisco,United States,NexusEnergy,Fintech,Series C,121300000,249,2024,37.7042,-122.4025
Mumbai,India,OrbitSystems,Climate,Series C,41400000,770,2024,19.0880,72.8598
Jakarta,Indonesia,NeoSecurity,Robotics,Series C,144300000,1015,2020,-6.2885,106.9381
San Francisco,United States,OrbitGenomics,AI,Series A,22000000,104,2020,37.6645,-122.3847
Austin,United States,QuantumWorks,Space,Pre-Seed,1000000,8,2021,30.2088,-97.7603
Tokyo,Japan,PulseSpace,Fintech,Series B,77000000,107,2021,35.7038,139.6349
Ho Chi Minh City,Vietnam,PulseWorks,Fintech,Series A,23600000,80,2020,10.8385,106.6460
Ho Chi Minh City,Vietnam,DeepSpace,Biotech,Pre-Seed,800000,4,2022,10.7644,106.5896
London,United Kingdom,NeoGenomics,SaaS,Seed,5900000,40,2024,51.5558,-0.2189
San Francisco,United States,TeraRobotics,Climate,Series C,46800000,730,2022,37.6418,-122.4043
Zurich,Switzerland,MacroSecurity,Robotics,Series B,60400000,266,2023,47.4858,8.4009
Tokyo,Japan,AstroLabs,Robotics,Series D,100400000,2330,2023,35.7362,139.7193
Miami,United States,PrismData,Fintech,Pre-Seed,1800000,8,2020,25.7087,-80.1969
Miami,United States,IonicTech,Space,Series D,488000000,1299,2021,25.9113,-80.2207
Tel Aviv,Israel,VectorLogic,Fintech,Series C,95700000,1195,2023,32.0113,34.7279
Cape Town,South Africa,QuantumEnergy,Climate,Pre-Seed,1900000,15,2021,-33.8511,18.2896
Shanghai,China,LumenGenomics,Climate,Series C,189300000,952,2021,31.3539,121.5063
Toronto,Canada,ForgeDynamics,SaaS,Series D,173200000,1400,2024,43.7404,-79.4520
Dubai,UAE,PrismVentures,Fintech,Series C,86800000,800,2022,25.0902,55.1419
New York,United States,OrbitHealth,Climate,Series C,52500000,674,2020,40.7165,-74.0984
Bangalore,India,PulseSystems,Space,Series A,10400000,42,2024,13.0593,77.7392
