id,connections,category,country,revenue_millions,employees,risk_score
Zinc Alloy Producers,Component Forge|Motor & Drive Systems,Raw Materials,India,760,340,0.33
Sensor Array Systems,Assembly Hub Alpha|Assembly Hub Beta|Advanced Assembly Plant,Component Manufacturing,Japan,5800,2100,0.13
Cooling Solutions Inc,Assembly Hub Beta|Assembly Hub Gamma|Tech Assembly Line,Component Manufacturing,Taiwan,3400,1300,0.15
Capacitor Works Ltd,Assembly Hub Alpha|MicroChip Fabrication|Assembly Hub Gamma,Component Manufacturing,South Korea,2900,1100,0.17
PCB Fabrication Group,Assembly Hub Beta|Advanced Assembly Plant|Global Integration Works,Component Manufacturing,China,4200,1700,0.21
Cable & Wiring Corp,Assembly Hub Alpha|Assembly Hub Gamma|Precision Assembly Systems,Component Manufacturing,Mexico,1800,780,0.25
Acoustic Engineering,Assembly Hub Beta|Tech Assembly Line,Component Manufacturing,Germany,3100,1200,0.14
Thermal Interface Co,Assembly Hub Alpha|Assembly Hub Beta|Quality Assembly Pro,Component Manufacturing,US,2400,960,0.18
SmartModule Assembly,DistHub Pacific|DistHub Atlantic|DistHub EMEA,Assembly,South Korea,9800,3700,0.19
Compact Assembly Works,DistHub EMEA|DistHub Atlantic,Assembly,Czech Republic,7100,2700,0.20
MicroAssembly Solutions,DistHub Pacific|DistHub Atlantic,Assembly,Japan,8400,3200,0.15
Modular Build Center,DistHub Pacific|DistHub EMEA,Assembly,China,7800,3000,0.23
Nordic Distribution AB,RetailNet Europe|LogisticFlow Global,Distribution,Sweden,10800,3600,0.12
Gulf Trade Logistics,RetailNet APAC|LogisticFlow Express,Distribution,UAE,8900,3000,0.20
TransPacific Freight,OnlineMarket Place|TechRetail Global|SpecialtyRetail Co,Logistics,Japan,10600,3500,0.13
Continental Express,EuroRetail Masters|LocalMart Network,Logistics,France,9200,3100,0.15
Arctic Supply Chain Co,RetailNet Europe|TechRetail Global,Logistics,Norway,6800,2300,0.11
AfricaRetail Hub,ConsumerTech Store,Retail,Kenya,5400,2200,0.30
AustraliaShop Direct,ConsumerTech Store,Retail,Australia,8900,3600,0.14
MiddleEast Commerce,ConsumerTech Store,Retail,UAE,7200,2900,0.22
NordicStore Group,ConsumerTech Store,Retail,Sweden,6100,2500,0.11
UK Retail Alliance,ConsumerTech Store,Retail,UK,15800,6400,0.13
CanadaTech Outlets,ConsumerTech Store,Retail,Canada,11200,4500,0.12
FranceRetail Network,ConsumerTech Store,Retail,France,13500,5400,0.14
SingaporeShop Hub,ConsumerTech Store,Retail,Singapore,9600,3800,0.10
PhilippinesMart,ConsumerTech Store,Retail,Philippines,4800,2000,0.28
IndonesiaRetail Co,ConsumerTech Store,Retail,Indonesia,5200,2100,0.27
ThailandTrade Center,ConsumerTech Store,Retail,Thailand,6400,2600,0.21
ColombiaShop Network,ConsumerTech Store,Retail,Colombia,4200,1800,0.24
